temp_K,x_nom_percent,x_frac,delta_mu_actual,delta_mu_pred,residual
300,10,0.1,0.511,0.51420000000074,-0.0032000000007399443
300,15,0.15,0.642,0.6553000000007391,-0.013300000000739054
300,20,0.2,0.8,0.7964000000007382,0.0035999999992618603
300,25,0.25,0.936,0.9375000000007372,-0.001500000000737134
600,10,0.1,0.494,0.4857000000006071,0.008299999999392904
600,15,0.15,0.634,0.6302000000006042,0.003799999999395842
600,20,0.2,0.779,0.7747000000006015,0.004299999999398563
600,25,0.25,0.915,0.9192000000005985,-0.004200000000598503
900,10,0.1,0.461,0.4572000000004741,0.003799999999525905
900,15,0.15,0.603,0.6051000000004694,-0.002100000000469393
900,20,0.2,0.77,0.7530000000004646,0.016999999999535387
900,25,0.25,0.901,0.9009000000004598,9.999999954024563e-05
1200,10,0.1,0.416,0.42870000000034114,-0.01270000000034116
1200,15,0.15,0.581,0.5800000000003346,0.0009999999996653797
1200,20,0.2,0.739,0.7313000000003279,0.00769999999967208
1200,25,0.25,0.87,0.8826000000003211,-0.012600000000321132
